ides,idmun,time,tmax,tmin
7.0,27.0,2023-04-12 12:00:00,31.96,18.09
7.0,27.0,2023-04-13 12:00:00,33.77,19.385
7.0,27.0,2023-04-14 12:00:00,36.125,20.74
7.0,27.0,2023-04-15 12:00:00,36.695,21.27
7.0,28.0,2023-04-12 12:00:00,29.22,17.51
7.0,28.0,2023-04-13 12:00:00,30.48,18.62
7.0,28.0,2023-04-14 12:00:00,33.1,20.29
7.0,28.0,2023-04-15 12:00:00,34.56,21.525
7.0,29.0,2023-04-12 12:00:00,26.59,15.86
7.0,29.0,2023-04-13 12:00:00,29.6,17.119999999999994
7.0,29.0,2023-04-14 12:00:00,33.04,18.235
7.0,29.0,2023-04-15 12:00:00,33.92,18.61
7.0,30.0,2023-04-12 12:00:00,27.53,14.77
7.0,30.0,2023-04-13 12:00:00,27.875,15.345
7.0,30.0,2023-04-14 12:00:00,28.945,16.314999999999998
7.0,30.0,2023-04-15 12:00:00,30.00500000000001,17.095
7.0,31.0,2023-04-12 12:00:00,26.03,15.28
7.0,31.0,2023-04-13 12:00:00,28.01,15.89
7.0,31.0,2023-04-14 12:00:00,31.565,17.155
7.0,31.0,2023-04-15 12:00:00,33.175,18.215
7.0,32.0,2023-04-12 12:00:00,29.1,18.47
7.0,32.0,2023-04-13 12:00:00,28.97,18.425
7.0,32.0,2023-04-14 12:00:00,28.85,18.45
7.0,32.0,2023-04-15 12:00:00,29.14,18.675
7.0,33.0,2023-04-12 12:00:00,26.12,18.79
7.0,33.0,2023-04-13 12:00:00,28.46,19.83
7.0,33.0,2023-04-14 12:00:00,32.695,21.17
7.0,33.0,2023-04-15 12:00:00,34.730000000000004,21.35
7.0,34.0,2023-04-12 12:00:00,28.75,16.48
7.0,34.0,2023-04-13 12:00:00,29.165,16.945
7.0,34.0,2023-04-14 12:00:00,30.52,17.685000000000006
7.0,34.0,2023-04-15 12:00:00,31.59,18.34
7.0,35.0,2023-04-12 12:00:00,34.51,24.62
7.0,35.0,2023-04-13 12:00:00,34.56,24.525
7.0,35.0,2023-04-14 12:00:00,34.43,24.58
7.0,35.0,2023-04-15 12:00:00,34.260000000000005,24.66
7.0,36.0,2023-04-12 12:00:00,21.29,11.8
7.0,36.0,2023-04-13 12:00:00,21.385,12.24
7.0,36.0,2023-04-14 12:00:00,22.48,12.94
7.0,36.0,2023-04-15 12:00:00,23.435,13.425
7.0,37.0,2023-04-12 12:00:00,32.1,22.87
7.0,37.0,2023-04-13 12:00:00,31.72,22.695
7.0,37.0,2023-04-14 12:00:00,31.655,22.6
7.0,37.0,2023-04-15 12:00:00,32.059999999999995,22.71
