cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien
50.75,Cielo nublado,6,Sur,161.95,20230415T12,20,350,17.0585,-96.6721,3,Oaxaca,San Sebastián Tutla,3.54,95.0,18.19,28.47,16.0,7.13
82.45,Cielo cubierto,6,Sureste,129.88,20230412T12,20,354,18.2106,-96.9064,0,Oaxaca,Santa Ana Ateixtlahuaca,2.15,95.0,14.0,22.67,15.26,5.17
57.25,Cielo nublado,6,Sur,168.6,20230413T12,20,354,18.2106,-96.9064,1,Oaxaca,Santa Ana Ateixtlahuaca,3.83,95.0,12.65,29.27,17.05,6.2
24.87,Poco nuboso,6,Sur,158.1,20230414T12,20,354,18.2106,-96.9064,2,Oaxaca,Santa Ana Ateixtlahuaca,0.37,80.0,13.14,32.06,19.31,6.06
24.9,Poco nuboso,6,Sureste,152.94,20230415T12,20,354,18.2106,-96.9064,3,Oaxaca,Santa Ana Ateixtlahuaca,3.49,95.0,15.46,32.39,17.7,5.79
66.76,Cielo nublado,6,Suroeste,204.99,20230412T12,20,369,16.8803,-96.7407,0,Oaxaca,Santa Catarina Quiané,9.31,95.0,16.72,28.72,14.9,5.61
54.76,Cielo nublado,6,Suroeste,214.89,20230413T12,20,369,16.8803,-96.7407,1,Oaxaca,Santa Catarina Quiané,5.24,95.0,21.2,28.14,15.82,6.72
27.83,Medio nublado,6,Sur,196.88,20230414T12,20,369,16.8803,-96.7407,2,Oaxaca,Santa Catarina Quiané,2.59,95.0,20.12,31.22,17.47,5.92
42.65,Medio nublado,6,Sur,196.08,20230415T12,20,369,16.8803,-96.7407,3,Oaxaca,Santa Catarina Quiané,1.6,95.0,17.53,31.31,17.06,6.63
71.39,Cielo nublado,6,Sur,196.13,20230412T12,20,375,17.0587,-96.684,0,Oaxaca,Santa Cruz Amilpas,6.3,95.0,20.38,27.52,14.04,6.25
56.61,Cielo nublado,6,Suroeste,217.73,20230413T12,20,375,17.0587,-96.684,1,Oaxaca,Santa Cruz Amilpas,6.31,95.0,21.75,26.95,15.22,7.3
37.12,Medio nublado,6,Sur,194.56,20230414T12,20,375,17.0587,-96.684,2,Oaxaca,Santa Cruz Amilpas,2.62,95.0,19.55,29.51,16.79,6.48
50.66,Cielo nublado,6,Sur,170.13,20230415T12,20,375,17.0587,-96.684,3,Oaxaca,Santa Cruz Amilpas,2.77,95.0,17.3,29.37,16.15,6.91
56.28,Cielo nublado,6,Sur,188.27,20230412T12,20,383,17.3578,-97.5686,0,Oaxaca,Santa Cruz Tayata,3.07,95.0,16.92,26.97,12.14,7.47
65.1,Cielo nublado,6,Suroeste,203.51,20230413T12,20,383,17.3578,-97.5686,1,Oaxaca,Santa Cruz Tayata,0.83,95.0,17.04,27.54,12.31,6.54
27.92,Medio nublado,6,Sur,199.01,20230414T12,20,383,17.3578,-97.5686,2,Oaxaca,Santa Cruz Tayata,0.09,0.0,15.91,29.93,14.02,6.13
54.19,Cielo nublado,6,Sur,172.44,20230415T12,20,383,17.3578,-97.5686,3,Oaxaca,Santa Cruz Tayata,0.15,0.0,18.2,30.72,14.45,5.9
63.64,Cielo nublado,6,Sur,200.51,20230412T12,20,389,16.8087,-96.7563,0,Oaxaca,Santa Inés Yatzeche,11.28,95.0,15.49,28.77,15.4,5.18
54.24,Cielo nublado,6,Sur,175.78,20230413T12,20,389,16.8087,-96.7563,1,Oaxaca,Santa Inés Yatzeche,4.66,95.0,19.03,28.64,16.22,6.25
